broad_mode	svd_representability	svd_fake_rdm_weight	svd_dominant_label	svd_dominant_channel	top_localized_modes	top_localized_overlaps	top_localized_shapes	atom_local_overlap	bond_axis_midbond_overlap	transverse_bond_overlap	outer_tail_overlap	ambiguous_overlap	top_localized_z	top_localized_fake	top_localized_repr	svd_top_labels
95	0.988666399136082	0.04583174327014204	b_s4	s	62,47,29,80,54	9.307480044259e-02,9.307479442815e-02,7.133767351046e-02,7.133766124014e-02,6.764405056862e-02	bond_axis_midbond,bond_axis_midbond,atom_local,atom_local,atom_local	0.7550316781808405	0.23075989537594244	2.2729893431639493e-22	0.014208426443218139	0.0	1.1175453938770978	1.0356445247821724	0.9921514097882053	b_s4:2.268280611960e-01,a_s4:2.268280079284e-01,b_s3:1.348402353444e-01,a_s3:1.348402353266e-01,b_s6:7.211109744156e-02,a_s6:7.211109532397e-02,b_s7:1.498217797181e-02,a_s7:1.498217734306e-02
96	0.9876836478668878	0.012254803639552156	a_s4	s	103,6,104,5,73	2.340998855651e-01,2.340998752592e-01,9.709332342612e-02,9.709331140844e-02,3.857393368461e-02	outer_tail,outer_tail,outer_tail,outer_tail,atom_local	0.29090280893690834	0.04671079540423756	2.9208337183577454e-22	0.662386395658853	0.0	5.131522308846978	0.5507093692599647	0.9871648962682309	a_s4:1.786788124483e-01,b_s4:1.786785029643e-01,b_s5:5.148553319248e-02,a_s5:5.148550253173e-02,b_s3:4.169722804112e-02,a_s3:4.169709195906e-02,b_s6:3.876910930191e-02,a_s6:3.876899832101e-02
97	0.9714860538358744	0.0018108177125076004	b_s3	s	73,36,77,32,56	1.754693515299e-01,1.754663615036e-01,8.130008597727e-02,8.129893739466e-02,7.314466801514e-02	atom_local,atom_local,atom_local,atom_local,atom_local	0.9100783277510633	0.02425778162492775	1.7391312894225834e-21	0.06566389062400303	0.0	1.5893942609834912	0.015309194833875061	0.9480206195947395	b_s3:1.247916288953e-01,a_s3:1.247897137721e-01,b_s6:1.048008106611e-01,a_s6:1.047991566184e-01,b_s5:8.542761293556e-02,a_s5:8.542636004401e-02,b_s4:8.402102391795e-02,a_s4:8.401983241561e-02
98	0.9714199996327578	0.0028115850315965757	a_s3	s	36,73,6,103,32	1.867622260102e-01,1.867592559548e-01,6.427173405828e-02,6.427107147910e-02,5.927524753183e-02	atom_local,atom_local,outer_tail,outer_tail,atom_local	0.8493869144187419	0.01844209651613882	1.3037209960209837e-21	0.13217098906511385	0.0	-1.5893942608439706	0.015309193227900156	0.9480206250889278	a_s3:1.289863814896e-01,b_s3:1.289840931257e-01,a_s6:1.146335349252e-01,b_s6:1.146315618539e-01,a_s5:8.058897027588e-02,b_s5:8.058746745435e-02,a_s4:7.406572998395e-02,b_s4:7.406430501415e-02
99	0.9679052218134182	0.0089285974304042	a_py7	py	22,30,87,79,78	1.571619675770e-01,1.529318715489e-01,1.017692891561e-01,9.094569564197e-02,7.335905115313e-02	atom_local,atom_local,atom_local,atom_local,atom_local	0.9999946841666888	2.3478188861125457e-20	5.3158333115108755e-6	1.6536628323731578e-19	0.0	-2.0760624387512734	0.6117837297907264	0.9917494179946599	a_py7:1.426945429218e-01,b_py7:1.426945388447e-01,a_py3:1.360723956688e-01,b_py3:1.360723918194e-01,a_px7:9.626788321423e-02,b_px7:9.626788179180e-02,a_px3:9.180029752683e-02,b_px3:9.180029618585e-02
100	0.9679052218120436	0.008928597429457931	a_px7	px	23,31,86,78,79	1.571619673746e-01,1.529318712812e-01,1.017692888198e-01,9.094569518615e-02,7.335905164236e-02	atom_local,atom_local,atom_local,atom_local,atom_local	0.9999946841666773	2.8088098638418886e-20	5.315833323079155e-6	1.4483338924421785e-19	0.0	-2.076062438748657	0.6117837298028321	0.9917494179945595	a_px7:1.426945420056e-01,b_px7:1.426945397611e-01,a_px3:1.360723948025e-01,b_px3:1.360723926858e-01,a_py7:9.626788407139e-02,b_py7:9.626788093451e-02,a_py3:9.180029833737e-02,b_py3:9.180029537520e-02
101	0.9654794281417479	0.01027640133194993	b_px7	px	79,67,31,42,44	1.339700728039e-01,1.058252826124e-01,9.778000580196e-02,9.393247887534e-02,6.932860264446e-02	atom_local,atom_local,atom_local,atom_local,atom_local	0.9877782107191039	8.389415406766445e-21	0.012221789280897913	4.522383908411301e-20	0.0	1.8133236567253077	0.7809162970525818	0.9895987140280034	b_px7:2.398174230817e-01,a_px7:2.398174203919e-01,b_px3:2.245857294438e-01,a_px3:2.245857269013e-01,b_px8:1.322001488290e-02,a_px8:1.322001472172e-02,b_px6:7.292300326520e-03,a_px6:7.292300236756e-03
102	0.9654794281328919	0.010276401326699824	b_py7	py	78,66,30,43,45	1.339700737878e-01,1.058252830913e-01,9.778000505680e-02,9.393247846255e-02,6.932860240412e-02	atom_local,atom_local,atom_local,atom_local,atom_local	0.9877782107130284	3.3507318371091047e-21	0.012221789286972456	1.0493929181492822e-20	0.0	1.8133236567107385	0.7809162970633555	0.9895987140233119	b_py7:2.398174244440e-01,a_py7:2.398174190315e-01,b_py3:2.245857307303e-01,a_py3:2.245857256148e-01,b_py8:1.322001496460e-02,a_py8:1.322001463986e-02,b_py6:7.292300371612e-03,a_py6:7.292300191277e-03
103	0.9338154693889731	0.022815601434057097	a_s6	s	36,73,26,83,18	1.692790760345e-01,1.692786361181e-01,7.802531596497e-02,7.802517601630e-02,5.688768644652e-02	atom_local,atom_local,atom_local,atom_local,atom_local	0.974580132358085	0.016647054962370365	2.7845324531857687e-22	0.00877281267955583	0.0	-1.5893942608439706	0.015309193227900156	0.9480206250889278	a_s6:1.364696863418e-01,b_s6:1.364693216648e-01,a_s3:1.112958424255e-01,b_s3:1.112955876978e-01,a_s7:1.082429558349e-01,b_s7:1.082426796899e-01,a_s4:6.153596400545e-02,b_s4:6.153584779783e-02
104	0.9251530786939351	0.014946800013860336	b_s6	s	73,36,56,53,61	1.968036160523e-01,1.968032449384e-01,5.431480394071e-02,5.431472301764e-02,5.258449608165e-02	atom_local,atom_local,atom_local,atom_local,atom_local	0.9849168141083381	0.01436281356167076	7.010190010741825e-23	0.0007203723300086429	0.0	1.5893942609834912	0.015309194833875061	0.9480206195947395	b_s6:1.738913188471e-01,a_s6:1.738910063921e-01,b_s7:1.183924432092e-01,a_s7:1.183922090904e-01,b_s3:1.005624676821e-01,a_s3:1.005622435817e-01,b_s4:3.912556005668e-02,a_s4:3.912544102076e-02
105	0.8991717458999008	0.0014298622903212712	a_s6	s	32,77,93,16,17	9.804930526385e-02,9.804927838017e-02,6.983568810743e-02,6.983568699789e-02,5.556169976806e-02	atom_local,atom_local,atom_local,atom_local,bond_axis_midbond	0.8121085813426403	0.18350433572205282	1.7473218790785758e-23	0.004387082935304196	0.0	-1.6902185584962943	0.05093478027647342	0.8612732131837884	a_s6:3.000607236815e-01,b_s6:3.000606488334e-01,a_s3:2.720218602746e-02,b_s3:2.720216252418e-02,a_s8:2.553568667151e-02,b_s8:2.553567776973e-02,a_pz7:1.941188461428e-02,b_pz7:1.941188421853e-02
106	0.8520482822560856	0.003762167398525677	a_s5	s	32,77,92,17,93	2.476244083943e-01,2.476243998812e-01,5.513820261472e-02,5.513819502969e-02,2.749316349944e-02	atom_local,atom_local,bond_axis_midbond,bond_axis_midbond,atom_local	0.8488326422153654	0.1295474378728905	2.1648735735208812e-24	0.02161991991174577	0.0	-1.6902185584962943	0.05093478027647342	0.8612732131837884	a_s5:1.853398743396e-01,b_s5:1.853398401718e-01,a_s8:1.002735201510e-01,b_s8:1.002735134668e-01,a_s6:8.152851085172e-02,b_s6:8.152848103396e-02,a_s4:3.990559717885e-02,b_s4:3.990555306081e-02
107	0.8025021627353341	0.001047861149080581	a_s6	s	32,77,16,93,26	1.512049311161e-01,1.512048109496e-01,5.787304263002e-02,5.787301618306e-02,5.419622149800e-02	atom_local,atom_local,atom_local,atom_local,atom_local	0.8704421394352568	0.09781687368944302	2.04488124888286e-23	0.03174098687530285	0.0	-1.6902185584962943	0.05093478027647342	0.8612732131837884	a_s6:1.448463353549e-01,b_s6:1.448463104666e-01,a_s4:1.052374184801e-01,b_s4:1.052373185423e-01,a_s8:6.854252904525e-02,b_s8:6.854248276604e-02,a_s5:5.230519159035e-02,b_s5:5.230514370372e-02
108	0.7732092411339045	0.0021607095854798805	b_s4	s	77,32,83,26,73	2.675771938027e-01,2.675770205593e-01,6.393788455755e-02,6.393785343745e-02,2.525921671591e-02	atom_local,atom_local,atom_local,atom_local,atom_local	0.9727611434443569	0.020670243405526645	2.2217142923611103e-23	0.006568613150119123	0.0	1.690218558490563	0.05093478028102896	0.8612732034303593	b_s4:1.428833792507e-01,a_s4:1.428832961834e-01,b_s5:9.479570067096e-02,a_s5:9.479564306553e-02,b_s8:9.305844273162e-02,a_s8:9.305838242119e-02,b_s6:5.548483601690e-02,a_s6:5.548477773556e-02
